Traffic Report

Time  Street A  Street B  Street C  Street D
   1  GREEN     GREEN     RED       RED   
   2  GREEN     GREEN     RED       RED   
   3  GREEN     GREEN     RED       RED   
   4  GREEN     GREEN     RED       RED   
   5  GREEN     GREEN     RED       RED   
   6  GREEN     GREEN     RED       RED   
   7  GREEN     GREEN     RED       RED   
   8  GREEN     GREEN     RED       RED   
   9  GREEN     GREEN     RED       RED   
  10  GREEN     GREEN     RED       RED   
  11  GREEN     GREEN     RED       RED   
  12  GREEN     GREEN     RED       RED   
  13  GREEN     GREEN     RED       RED   
  14  GREEN     GREEN     RED       RED   
  15  GREEN     GREEN     RED       RED   
  16  GREEN     GREEN     RED       RED   
  17  GREEN     GREEN     RED       RED   
  18  GREEN     GREEN     RED       RED   
  19  GREEN     GREEN     RED       RED   
  20  GREEN     GREEN     RED       RED   
  21  GREEN     GREEN     RED       RED   
  22  GREEN     GREEN     RED       RED   
  23  GREEN     GREEN     RED       RED   
  24  GREEN     GREEN     RED       RED   
  25  GREEN     GREEN     RED       RED   
  26  GREEN     GREEN     RED       RED   
  27  GREEN     GREEN     RED       RED   
  28  GREEN     GREEN     RED       RED   
  29  GREEN     GREEN     RED       RED   
  30  GREEN     GREEN     RED       RED   
  31  GREEN     GREEN     RED       RED   
  32  GREEN     GREEN     RED       RED   
  33  GREEN     GREEN     RED       RED   
  34  GREEN     GREEN     RED       RED   
  35  GREEN     GREEN     RED       RED   
  36  GREEN     GREEN     RED       RED   
  37  GREEN     GREEN     RED       RED   
  38  GREEN     GREEN     RED       RED   
  39  GREEN     GREEN     RED       RED   
  40  GREEN     GREEN     RED       RED   
  41  GREEN     GREEN     RED       RED   
  42  GREEN     GREEN     RED       RED   
  43  GREEN     GREEN     RED       RED   
  44  GREEN     GREEN     RED       RED   
  45  GREEN     GREEN     RED       RED   
  46  GREEN     GREEN     RED       RED   
  47  GREEN     GREEN     RED       RED   
  48  GREEN     GREEN     RED       RED   
  49  GREEN     GREEN     RED       RED   
  50  GREEN     GREEN     RED       RED   
  51  GREEN     GREEN     RED       RED   
  52  GREEN     GREEN     RED       RED   
  53  GREEN     GREEN     RED       RED   
  54  GREEN     GREEN     RED       RED   
  55  GREEN     GREEN     RED       RED   
  56  GREEN     GREEN     RED       RED   
  57  GREEN     GREEN     RED       RED   
  58  GREEN     GREEN     RED       RED   
  59  GREEN     GREEN     RED       RED   
  60  GREEN     GREEN     RED       RED   
  61  GREEN     GREEN     YELLOW    YELLOW
  62  GREEN     GREEN     YELLOW    YELLOW
  63  GREEN     GREEN     YELLOW    YELLOW
  64  GREEN     GREEN     YELLOW    YELLOW
  65  GREEN     GREEN     YELLOW    YELLOW
  66  RED       RED       GREEN     GREEN 
  67  RED       RED       GREEN     GREEN 
  68  RED       RED       GREEN     GREEN 
  69  RED       RED       GREEN     GREEN 
  70  RED       RED       GREEN     GREEN 
  71  RED       RED       GREEN     GREEN 
  72  RED       RED       GREEN     GREEN 
  73  RED       RED       GREEN     GREEN 
  74  RED       RED       GREEN     GREEN 
  75  RED       RED       GREEN     GREEN 
  76  RED       RED       GREEN     GREEN 
  77  RED       RED       GREEN     GREEN 
  78  RED       RED       GREEN     GREEN 
  79  RED       RED       GREEN     GREEN 
  80  RED       RED       GREEN     GREEN 
  81  RED       RED       GREEN     GREEN 
  82  RED       RED       GREEN     GREEN 
  83  RED       RED       GREEN     GREEN 
  84  RED       RED       GREEN     GREEN 
  85  RED       RED       GREEN     GREEN 
  86  RED       RED       GREEN     GREEN 
  87  RED       RED       GREEN     GREEN 
  88  RED       RED       GREEN     GREEN 
  89  RED       RED       GREEN     GREEN 
  90  RED       RED       GREEN     GREEN 
  91  RED       RED       GREEN     GREEN 
  92  RED       RED       GREEN     GREEN 
  93  RED       RED       GREEN     GREEN 
  94  RED       RED       GREEN     GREEN 
  95  RED       RED       GREEN     GREEN 
  96  RED       RED       GREEN     GREEN 
  97  RED       RED       GREEN     GREEN 
  98  RED       RED       GREEN     GREEN 
  99  RED       RED       GREEN     GREEN 
 100  RED       RED       GREEN     GREEN 
 101  RED       RED       GREEN     GREEN 
 102  RED       RED       GREEN     GREEN 
 103  RED       RED       GREEN     GREEN 
 104  RED       RED       GREEN     GREEN 
 105  RED       RED       GREEN     GREEN 
 106  RED       RED       GREEN     GREEN 
 107  RED       RED       GREEN     GREEN 
 108  RED       RED       GREEN     GREEN 
 109  RED       RED       GREEN     GREEN 
 110  RED       RED       GREEN     GREEN 
 111  RED       RED       GREEN     GREEN 
 112  RED       RED       GREEN     GREEN 
 113  RED       RED       GREEN     GREEN 
 114  RED       RED       GREEN     GREEN 
 115  RED       RED       GREEN     GREEN 
 116  RED       RED       GREEN     GREEN 
 117  RED       RED       GREEN     GREEN 
 118  RED       RED       GREEN     GREEN 
 119  RED       RED       GREEN     GREEN 
 120  RED       RED       GREEN     GREEN 
 121  RED       RED       GREEN     GREEN 
 122  RED       RED       GREEN     GREEN 
 123  RED       RED       RED       RED   
 124  RED       RED       RED       RED   
